NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Mandeļu dzēriens Alpro bez cukura 1l,12.9,1.1,0.1,0,0,0.4,0.1,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_928175_PCE_LV",Produkti vegāniem un veģitāriešiem,1.99
"Auzu dzēriens kafijai Valio Oddlygood Barista, bagātināts ar vitamīniem un minerāliem, UHT 1l",58.1,3,0.3,6.6,3.5,1.2,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_957905_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Majonēze Spilva 4 sezonu 450g,630.0,68,4.8,4.2,3.4,0.1,1,6.64,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_950470_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Mandeļu dzēriens ICA bez piedevām 1l,14.1,1.2,0,0.5,0,0.5,0.1,1.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808554_PCE_LV",Produkti vegāniem un veģitāriešiem,1.79
Auzu krēms Tere Deary kulinārijai 15% 250ml,167.1,15,1.1,6.4,4.7,1.2,0.3,6.76,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_974122_PCE_LV",Produkti vegāniem un veģitāriešiem,1.69
"Auzu dzēriens ICA ,1L",48.5,1.5,0.2,7.2,3.5,1.1,0.1,1.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812023_PCE_LV",Produkti vegāniem un veģitāriešiem,1.69
Sojas tofu Berief dabīgais BIO 400g,128.1,7.3,1.3,1.6,0.5,14,0,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_984513_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Rīsu dzēriens The Bridge Natural BIO 1l,65.2,1.3,0.2,4.8,0,0.5,0,1.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_275786_PCE_LV",Produkti vegāniem un veģitāriešiem,1.95
Krēms kulinārijas Alpro sojas 250ml,140.3,14,1.6,1.2,1.2,2,0.1,10.6,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_291319_PCE_LV",Produkti vegāniem un veģitāriešiem,2.65
"Sālīts smēriņš Naturale ar avokado garšu, vegānisks 200g",663.2,75,55,0,0,0,0.8,10.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993888_PCE_LV",Produkti vegāniem un veģitāriešiem,2.19
Dabīgais tofu tofu Lunter 180g,128.3,7.5,1,1.8,0,13,0.2,6.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000769_PCE_LV",Produkti vegāniem un veģitāriešiem,1.25
Kokosriekstu dzēriens Alpro Barista 1l,33.2,1.4,0.7,3.3,3.3,1.5,0.1,3.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_936940_PCE_LV",Produkti vegāniem un veģitāriešiem,3.79
Sojas dzēriens Alpro vaniļas 1l,57.4,1.8,0.3,6.8,6.8,3,0.1,2.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_271874_PCE_LV",Produkti vegāniem un veģitāriešiem,2.45
